16134745,4,그것: 두 번째 이야기,공포?코믹?스릴러?판타지?홍대롯데시네마 3시간주차무료인데 몇분지나서 2천원처음으로 추가요금 냈네요ㅎ왜케 전개를 질질 끌면서 시간을 잡아 먹었을까요?ㅎㅎ암튼 보는분 마다 호불호가...ㅋㅋ암튼 전 헛 웃음이 많이 나왔네요 ,sswh****,19.09.10
16134744,10,벌새,평범하게 자라온  90년대의 은희들은 모두 다 공감하겠지  그 얼마나 혼자 되뇌였던가 내 인생도 언젠가 빛이 날까요? ,answ****,19.09.10
16134743,10,봉오동 전투,정말 감동적이다 모든 독립운동가분들 존경합니다 감사합니다 ,lk02****,19.09.10
16134742,10,비긴 어게인,스무살 되고 다시 봤는데 느낌이 참 다르다 ,seol****,19.09.10
16134740,10,47미터 2,상어 생김새가 너무 무섭다.. 웬만한 귀신만큼... 개인적으로 1편보다 더 무섭다 ㅠㅠ그리고 평점에 스포하는 댓글 많으니 피해 가세용 ,atg4****,19.09.10
16134739,1,유열의 음악앨범,도대체 무슨 개연성이있고 무슨내용인지 ㅋㅋㅋ  무슨 asmr인줄ㅋㅋㅋㅋ숨소리 침방울 터지는소리 적나라 하게 다들렸음ㅋㅋ내가 태어나서 본영화중에 제일 재미없게 본영화 ,ss12****,19.09.10
16134738,10,타짜,걍 존잼 말이 필요없음 명작은 ,nono****,19.09.10
16134737,8,극장판 헬로카봇 : 달나라를 구해줘!,영화버젼이라 그런지 더 실감나게 잘만들었네요 아이들이 무척 좋아해요~ ,jamc****,19.09.10
16134736,10,벌새,박지후 화이팅 ~!!! ,bban****,19.09.10
16134735,10,유열의 음악앨범,첫사랑이 보고싶읔영화 ,hj36****,19.09.10
16134734,5,고질라: 킹 오브 몬스터,"정신나간 아줌마가 쓸때없이 괴물을 깨웁니다. 몇몇 과학자들이 모여서, 지들끼리 인류의 운명을 의논합니다. 과학자들은 군인들에게 물어보지도 않고, 핵무기 사용을 결정합니다. 일부 과학자는 최신형 수직 이착륙기 1대를 쓰레기 버리듯이 날려버립니다. ",eyes****,19.09.10
16134731,5,분노의 질주: 홉스&쇼,가나다라마바가아라사자가 ,4u02****,19.09.10
16134730,10,분노의 질주: 홉스&쇼,분노의질주 역시 실망시키지 않은 재미있는 영화입니다...다음편도 기대할께요.. ,agap****,19.09.10
16134729,6,퍼스트맨,최초 달 착륙의 감동을 느끼기엔 너무나도 긴 호흡의 연속 ,chun****,19.09.10
16134728,4,가시,갈피를 잃은 연출과 스토리 속 오롯이 빛난 조보아의 연기 ,chun****,19.09.10
16134727,9,바스터즈: 거친 녀석들,한스 대령이라는 캐릭터로 집약된 타란티노 영화의 정수이자 정점 ,chun****,19.09.10
16134726,6,그것: 두 번째 이야기,무서워해야되는건지 웃어야되는건지 ,kim5****,19.09.10
16134725,8,오로라 공주,다시봐도 꿀작. 엄정화 탱킹 대단. ,itot****,19.09.10
16134723,10,봉오동 전투,잘 만든 영화다. 주인공들이 모두 다 살아남아서 정말 좋았다. 처절했던 과거 독립군들의 고생과 투쟁에 깊은 감사를 드립니다. ㅠㅠ 묵념... ,raku****,19.09.10
16134722,1,47미터 2,개노잼이다 ㅡㅡ 레알ㅍ퓨 ,flyh****,19.09.10
16134721,10,안녕 베일리,보고싶은데ㅠ 왜 지방에선 안 하나요? 꼭 보려고 했는데ㅠ 똑같은 영화 상영관 하나 줄이고 베일리 상영해주지.. 같은 영화를 상영관 두 곳에서 하구ㅠ 베일리 어게인 너무 잼나게 봤는데 아쉬워요ㅠ ,mh90****,19.09.10
16134720,10,변신,아무도믿지마세요.저도 믿지마세요.여기댓글 그누구도 믿지마세요. ,miss****,19.09.10
